ia,run,score,max,time
martin,1,6700,512,431.90
random,1,1172,128,0.01178983599993444
random,2,2024,256,0.019108781000113595
random,3,2996,256,0.039773886999910246
random,4,1284,128,0.01881618500010518
random,5,680,64,0.013927848000093945
mcts,1,560,64,42.282679502000065
mcts,2,1424,128,61.34300836300008
mcts,3,640,64,45.499119102999884
mcts,4,1264,128,56.316350997999734
mcts,5,652,64,44.85491614099965
expectimax,1,81868,4096,234.23683669
expectimax,2,52240,4096,243.90761343
expectimax,3,71964,4096,259.325494131
expectimax,4,79676,4096,371.8728409810001
expectimax,5,113024,8192,486.4411627459999
pure_mcts,1,27228,2048,260.98295110199996
pure_mcts,2,25892,2048,441.6434919120002
pure_mcts,3,32556,2048,285.946490029
pure_mcts,4,27340,2048,449.5785994769999
pure_mcts,5,16440,1024,183.24031685100002
